date,dailyCases,smoothedCases,cumulativeCases,Population,peak
2021-02-12,485,458,99117,2065647,2
2021-02-13,344,434,99551,2065647,2
2021-02-14,351,427,99978,2065647,2
2021-02-15,322,425,100403,2065647,2
2021-02-16,410,419,100822,2065647,2
2021-02-17,332,388,101210,2065647,2
2021-02-18,377,374,101584,2065647,2
2021-02-19,395,362,101946,2065647,2
2021-02-20,390,368,102314,2065647,2
2021-02-21,405,376,102690,2065647,2
2021-02-22,263,367,103057,2065647,2
2021-02-23,421,369,103426,2065647,2
2021-02-24,408,380,103806,2065647,2
2021-02-25,388,381,104187,2065647,2
2021-02-26,400,382,104569,2065647,2
2021-02-27,324,373,104942,2065647,2
2021-02-28,249,350,105292,2065647,2
2021-03-01,258,350,105642,2065647,2
2021-03-02,392,346,105988,2065647,2
2021-03-03,303,331,106319,2065647,2
2021-03-04,375,329,106648,2065647,2
2021-03-05,280,312,106960,2065647,2
2021-03-06,398,322,107282,2065647,2
2021-03-07,267,325,107607,2065647,2
2021-03-08,259,325,107932,2065647,2
2021-03-09,392,325,108257,2065647,2
2021-03-10,316,327,108584,2065647,2
2021-03-11,362,325,108909,2065647,2
2021-03-12,390,341,109250,2065647,2
2021-03-13,277,323,109573,2065647,2
2021-03-14,271,324,109897,2065647,2
2021-03-15,244,322,110219,2065647,2
2021-03-16,339,314,110533,2065647,2
2021-03-17,315,314,110847,2065647,2
2021-03-18,357,313,111160,2065647,2
2021-03-19,319,303,111463,2065647,2
2021-03-20,267,302,111765,2065647,2
2021-03-21,307,307,112072,2065647,2
2021-03-22,226,304,112376,2065647,2
2021-03-23,339,304,112680,2065647,2
2021-03-24,367,312,112992,2065647,2
2021-03-25,354,311,113303,2065647,2
2021-03-26,361,317,113620,2065647,2
2021-03-27,310,323,113943,2065647,2
2021-03-28,262,317,114260,2065647,2
2021-03-29,306,328,114588,2065647,2
2021-03-30,379,334,114922,2065647,2
2021-03-31,402,339,115261,2065647,2
2021-04-01,359,340,115601,2065647,2
2021-04-02,386,343,115944,2065647,2
2021-04-03,356,350,116294,2065647,2
2021-04-04,302,356,116650,2065647,2
2021-04-05,293,354,117004,2065647,2
2021-04-06,311,344,117348,2065647,2
2021-04-07,406,345,117693,2065647,2
2021-04-08,394,350,118043,2065647,2
2021-04-09,517,368,118411,2065647,2
2021-04-10,296,360,118771,2065647,2
2021-04-11,378,371,119142,2065647,2
2021-04-12,261,366,119508,2065647,2
2021-04-13,372,375,119883,2065647,2
2021-04-14,354,367,120250,2065647,2
2021-04-15,431,373,120623,2065647,2
2021-04-16,366,351,120974,2065647,2
2021-04-17,351,359,121333,2065647,2
